"city","country","pop2024","latitude","longitude","cityDisp","pop2024Disp"
"Beckenham","United Kingdom",82000,51.4088,-0.02526,"Beckenham","82,000"
"Tamworth","United Kingdom",81964,52.634,-1.69587,"Tamworth","81,964"
"Scunthorpe","United Kingdom",79977,53.579,-0.65437,"Scunthorpe","79,977"
"Stockton-on-Tees","United Kingdom",79957,54.5685,-1.3187,"Stockton-on-Tees","79,957"
"Wakefield","United Kingdom",78978,53.6833,-1.49768,"Wakefield","78,978"
"Carlisle","United Kingdom",78470,54.8951,-2.9382,"Carlisle","78,470"
"Gateshead","United Kingdom",77649,54.9621,-1.60168,"Gateshead","77,649"
"Lisburn","United Kingdom",77506,54.5234,-6.03527,"Lisburn","77,506"
"Fylde","United Kingdom",76500,53.8333,-2.91667,"Fylde","76,500"
"Paisley","United Kingdom",76220,55.8317,-4.43254,"Paisley","76,220"
"Bracknell","United Kingdom",76103,51.4136,-0.75054,"Bracknell","76,103"
"Newcastle under Lyme","United Kingdom",75794,53,-2.23333,"Newcastle under Lyme","75,794"
"Battersea","United Kingdom",75651,51.4748,-0.15547,"Battersea","75,651"
"Crewe","United Kingdom",75556,53.0979,-2.44161,"Crewe","75,556"
"Chatham","United Kingdom",75509,51.3789,0.52786,"Chatham","75,509"
"Hove","United Kingdom",75174,50.8309,-0.1672,"Hove","75,174"
"Aylesbury","United Kingdom",74748,51.8167,-0.81458,"Aylesbury","74,748"
"East Kilbride","United Kingdom",74740,55.7641,-4.17669,"East Kilbride","74,740"
"Canary Wharf","United Kingdom",73390,51.5052,-0.02085,"Canary Wharf","73,390"
"Rugby","United Kingdom",73150,52.3709,-1.26417,"Rugby","73,150"
"Salford","United Kingdom",72750,53.4877,-2.29042,"Salford","72,750"
"Purley","United Kingdom",72000,51.3368,-0.11201,"Purley","72,000"
"Guildford","United Kingdom",71873,51.2354,-0.57427,"Guildford","71,873"
"Shrewsbury","United Kingdom",71715,52.7101,-2.75208,"Shrewsbury","71,715"
"Peckham","United Kingdom",71552,51.474,-0.06969,"Peckham","71,552"
"Barnsley","United Kingdom",71447,53.55,-1.48333,"Barnsley","71,447"
"Lowestoft","United Kingdom",70945,52.4752,1.75167,"Lowestoft","70,945"
"Gosport","United Kingdom",70793,50.7951,-1.12902,"Gosport","70,793"
"Southall","United Kingdom",70000,51.509,-0.3713,"Southall","70,000"
"Stafford","United Kingdom",69217,52.8052,-2.11636,"Stafford","69,217"
"Royal Tunbridge Wells","United Kingdom",68910,51.1332,0.26256,"Royal Tunbridge Wells","68,910"
"Ellesmere Port","United Kingdom",67768,53.2788,-2.90134,"Ellesmere Port","67,768"
"Rossendale","United Kingdom",67400,53.6846,-2.2769,"Rossendale","67,400"
"Folkestone","United Kingdom",66429,51.0817,1.16734,"Folkestone","66,429"
"Brixton","United Kingdom",66300,51.4659,-0.10652,"Brixton","66,300"
"Wrexham","United Kingdom",65692,53.0466,-2.99132,"Wrexham","65,692"
"Torquay","United Kingdom",65388,50.462,-3.52522,"Torquay","65,388"
"Maidenhead","United Kingdom",64831,51.5228,-0.71986,"Maidenhead","64,831"
"Kingswood","United Kingdom",64793,51.4528,-2.50833,"Kingswood","64,793"
"Taunton","United Kingdom",64621,51.0149,-3.10293,"Taunton","64,621"
"Waterlooville","United Kingdom",64350,50.8807,-1.0304,"Waterlooville","64,350"
"Macclesfield","United Kingdom",63954,53.2602,-2.12564,"Macclesfield","63,954"
"Bognor Regis","United Kingdom",63885,50.7821,-0.67978,"Bognor Regis","63,885"
"Newtownabbey","United Kingdom",63860,54.6598,-5.90858,"Newtownabbey","63,860"
"Kettering","United Kingdom",63675,52.3984,-0.72571,"Kettering","63,675"
"Buckley","United Kingdom",63576,53.1667,-3.08333,"Buckley","63,576"
"Great Yarmouth","United Kingdom",63434,52.6083,1.73052,"Great Yarmouth","63,434"
"Runcorn","United Kingdom",62872,53.3417,-2.73124,"Runcorn","62,872"
"Ashford","United Kingdom",62787,51.1465,0.87376,"Ashford","62,787"
"Tonypandy","United Kingdom",62545,51.622,-3.45544,"Tonypandy","62,545"
"Scarborough","United Kingdom",61749,54.2797,-0.40443,"Scarborough","61,749"
"Widnes","United Kingdom",61464,53.3618,-2.73406,"Widnes","61,464"
"Aldershot","United Kingdom",61339,51.2483,-0.76389,"Aldershot","61,339"
"Bury","United Kingdom",61044,53.6,-2.3,"Bury","61,044"
"Barking","United Kingdom",61000,51.5333,0.08333,"Barking","61,000"
"Castleford","United Kingdom",60509,53.7259,-1.36256,"Castleford","60,509"
"Hereford","United Kingdom",60415,52.0568,-2.71482,"Hereford","60,415"
"Bangor","United Kingdom",60385,54.6534,-5.66895,"Bangor","60,385"
"Stroud","United Kingdom",60155,51.75,-2.2,"Stroud","60,155"
"Margate","United Kingdom",60134,51.3813,1.38617,"Margate","60,134"
"Chelsea","United Kingdom",60000,51.4875,-0.16936,"Chelsea","60,000"
"Loughborough","United Kingdom",59932,52.7667,-1.2,"Loughborough","59,932"
"Welwyn Garden City","United Kingdom",59910,51.8017,-0.20691,"Welwyn Garden City","59,910"
"Farnborough","United Kingdom",59902,51.2942,-0.75565,"Farnborough","59,902"
"Rhondda","United Kingdom",59450,51.659,-3.44885,"Rhondda","59,450"
"Craigavon","United Kingdom",59236,54.4471,-6.387,"Craigavon","59,236"
"Wallasey","United Kingdom",58794,53.4232,-3.06497,"Wallasey","58,794"
"Littlehampton","United Kingdom",58714,50.8114,-0.54078,"Littlehampton","58,714"
"Bridgend","United Kingdom",58380,51.5058,-3.57722,"Bridgend","58,380"
"Bootle","United Kingdom",57791,53.4667,-3.01667,"Bootle","57,791"
"Weymouth","United Kingdom",57691,50.6145,-2.45991,"Weymouth","57,691"
"Fareham","United Kingdom",57390,50.8516,-1.17929,"Fareham","57,390"
"Morley","United Kingdom",57385,53.7401,-1.59877,"Morley","57,385"
"Cheshunt","United Kingdom",57374,51.7002,-0.03026,"Cheshunt","57,374"
"Kidderminster","United Kingdom",57059,52.3882,-2.25,"Kidderminster","57,059"
"Corby","United Kingdom",56810,52.4964,-0.68939,"Corby","56,810"
"Dartford","United Kingdom",56694,51.4466,0.21423,"Dartford","56,694"
"Castlereagh","United Kingdom",56679,54.5735,-5.88472,"Castlereagh","56,679"
"Dewsbury","United Kingdom",56640,53.6908,-1.62907,"Dewsbury","56,640"
"Livingston","United Kingdom",56570,55.9029,-3.52261,"Livingston","56,570"
"Stourbridge","United Kingdom",56284,52.4561,-2.14317,"Stourbridge","56,284"
"Sale","United Kingdom",55689,53.4252,-2.32443,"Sale","55,689"
